id,Gender,Customer_Type,Age,Age_Category,Type_of_Travel,Class,Flight_Distance,Flight_Distance_Category,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Departure_Delay_Category,Arrival_Delay_in_Minutes,Satisfaction
50705,Male,Loyal Customer,61,Old,Personal Travel,Eco,156,Short-Haul,1,4,0,3,2,0,1,2,3,5,4,5,5,2,0,Minor Delay,0,neutral or dissatisfied
60000,Male,Loyal Customer,61,Old,Personal Travel,Eco,937,Short-Haul,2,3,2,4,1,2,1,1,4,1,1,2,4,1,0,Minor Delay,0,neutral or dissatisfied
37109,Male,Loyal Customer,35,Adolescent,Business travel,Business,1189,Short-Haul,2,2,2,2,2,4,5,5,5,5,5,1,5,5,23,Minor Delay,17,satisfied
51776,Male,Loyal Customer,48,Adolescent,Personal Travel,Eco,370,Short-Haul,4,5,2,1,5,2,5,5,3,4,4,5,5,5,89,Severe Delay,78,neutral or dissatisfied
100843,Male,Loyal Customer,50,Adolescent,Personal Travel,Eco,711,Short-Haul,3,4,3,2,3,3,3,3,3,4,4,5,5,3,0,Minor Delay,9,neutral or dissatisfied
84133,Female,Disloyal Customer,34,Adolescent,Business travel,Eco,782,Short-Haul,3,3,3,3,4,3,4,4,1,5,3,2,4,4,0,Minor Delay,4,neutral or dissatisfied
82240,Female,Loyal Customer,68,Old,Personal Travel,Eco,405,Short-Haul,2,3,2,4,5,2,1,2,2,2,2,5,2,4,0,Minor Delay,0,neutral or dissatisfied
37252,Female,Loyal Customer,62,Old,Personal Travel,Business,1047,Short-Haul,4,5,4,3,3,5,5,5,5,4,3,4,5,4,0,Minor Delay,0,neutral or dissatisfied
48440,Female,Loyal Customer,39,Adolescent,Business travel,Eco,846,Short-Haul,4,3,3,3,4,4,4,4,4,5,3,5,3,4,0,Minor Delay,17,satisfied
81630,Female,Loyal Customer,48,Adolescent,Business travel,Business,1854,Long-Haul,1,1,1,1,4,4,4,2,2,2,2,3,2,4,14,Minor Delay,0,satisfied
31437,Female,Disloyal Customer,54,Adolescent,Business travel,Eco Plus,1007,Short-Haul,4,4,4,4,4,4,1,4,4,2,3,1,3,4,0,Minor Delay,17,neutral or dissatisfied
113762,Male,Disloyal Customer,28,Adolescent,Personal Travel,Eco,223,Short-Haul,1,4,1,3,4,1,4,4,5,2,4,3,5,4,0,Minor Delay,0,neutral or dissatisfied
90247,Female,Loyal Customer,28,Adolescent,Personal Travel,Eco,1121,Short-Haul,1,4,1,4,5,1,5,5,5,4,5,3,5,5,0,Minor Delay,0,neutral or dissatisfied
17500,Male,Loyal Customer,19,Adolescent,Business travel,Business,352,Short-Haul,2,2,2,2,5,5,5,5,3,3,2,5,5,5,0,Minor Delay,0,satisfied
97127,Female,Disloyal Customer,60,Old,Business travel,Eco,1211,Short-Haul,1,1,1,4,1,1,1,1,1,2,3,4,4,1,16,Minor Delay,14,neutral or dissatisfied
60284,Male,Loyal Customer,14,Children,Personal Travel,Eco,326,Short-Haul,2,4,2,4,2,1,1,3,1,5,4,1,2,1,202,Severe Delay,205,neutral or dissatisfied
103404,Male,Loyal Customer,34,Adolescent,Business travel,Business,237,Short-Haul,3,3,3,3,5,3,3,3,3,3,3,3,3,4,19,Minor Delay,13,neutral or dissatisfied
60548,Male,Loyal Customer,42,Adolescent,Business travel,Business,862,Short-Haul,1,1,1,1,4,4,5,4,4,4,4,3,4,3,11,Minor Delay,13,satisfied
20442,Female,Loyal Customer,49,Adolescent,Business travel,Eco,177,Short-Haul,4,3,3,3,1,4,3,4,4,4,4,4,4,2,7,Minor Delay,0,satisfied
83427,Male,Loyal Customer,37,Adolescent,Personal Travel,Eco,632,Short-Haul,1,5,1,2,2,1,2,2,5,3,5,3,4,2,0,Minor Delay,8,neutral or dissatisfied
83897,Male,Loyal Customer,43,Adolescent,Business travel,Business,1450,Short-Haul,2,5,5,5,1,2,3,2,2,2,2,2,2,1,34,Moderate Delay,4,neutral or dissatisfied
89676,Female,Loyal Customer,18,Adolescent,Business travel,Business,3690,Long-Haul,1,3,3,3,1,1,1,1,2,4,3,1,4,1,214,Severe Delay,201,neutral or dissatisfied
129365,Female,Loyal Customer,48,Adolescent,Business travel,Business,2454,Long-Haul,3,3,3,3,2,3,4,5,5,5,5,3,5,5,4,Minor Delay,0,satisfied
75274,Female,Loyal Customer,33,Adolescent,Personal Travel,Eco,1723,Long-Haul,0,1,0,4,1,0,1,1,4,4,4,2,4,1,0,Minor Delay,0,satisfied
30418,Female,Loyal Customer,20,Adolescent,Personal Travel,Eco Plus,862,Short-Haul,1,5,1,5,4,1,1,4,2,1,2,2,3,4,15,Minor Delay,27,neutral or dissatisfied
17695,Male,Loyal Customer,20,Adolescent,Business travel,Business,2041,Long-Haul,1,1,1,1,3,3,3,3,5,1,4,5,3,3,0,Minor Delay,1,satisfied
93317,Male,Loyal Customer,42,Adolescent,Business travel,Business,3454,Long-Haul,3,4,3,3,4,4,5,5,5,5,5,3,5,3,0,Minor Delay,0,satisfied
78883,Male,Loyal Customer,67,Old,Business travel,Eco Plus,223,Short-Haul,1,2,4,2,1,1,1,1,2,1,4,1,4,1,33,Moderate Delay,49,neutral or dissatisfied
61502,Male,Disloyal Customer,22,Adolescent,Business travel,Eco,753,Short-Haul,5,5,5,1,5,5,5,5,2,2,2,1,5,5,0,Minor Delay,0,satisfied
71202,Male,Loyal Customer,45,Adolescent,Business travel,Business,1700,Long-Haul,3,3,3,3,2,4,5,4,4,4,4,3,4,3,0,Minor Delay,0,satisfied
53579,Female,Loyal Customer,48,Adolescent,Personal Travel,Eco,1195,Short-Haul,2,5,2,3,4,4,5,2,2,2,2,5,2,4,9,Minor Delay,1,neutral or dissatisfied
27173,Male,Loyal Customer,7,Children,Personal Travel,Eco,2677,Long-Haul,2,2,3,3,3,1,1,1,3,3,3,1,1,1,0,Minor Delay,0,neutral or dissatisfied
117933,Male,Loyal Customer,54,Adolescent,Business travel,Business,255,Short-Haul,1,1,4,1,4,5,5,4,4,4,4,5,4,5,0,Minor Delay,0,satisfied
27549,Female,Loyal Customer,25,Adolescent,Personal Travel,Eco,679,Short-Haul,2,3,2,4,1,2,1,1,3,5,4,2,2,1,33,Moderate Delay,21,neutral or dissatisfied
93552,Female,Loyal Customer,43,Adolescent,Business travel,Business,719,Short-Haul,3,3,3,3,4,5,5,4,4,4,4,3,4,4,0,Minor Delay,1,satisfied
5859,Male,Loyal Customer,40,Adolescent,Personal Travel,Eco,1020,Short-Haul,1,0,1,4,5,1,4,5,3,5,4,2,2,5,0,Minor Delay,3,neutral or dissatisfied
83497,Male,Loyal Customer,46,Adolescent,Business travel,Eco,546,Short-Haul,4,2,2,2,4,4,4,5,2,2,2,4,5,4,266,Severe Delay,262,satisfied
91934,Female,Loyal Customer,50,Adolescent,Business travel,Business,2475,Long-Haul,2,2,2,2,5,3,3,2,2,2,2,3,2,2,1,Minor Delay,0,neutral or dissatisfied
31894,Female,Loyal Customer,33,Adolescent,Personal Travel,Eco,2762,Long-Haul,1,0,1,1,2,1,2,2,2,5,4,2,5,2,0,Minor Delay,0,neutral or dissatisfied
4745,Female,Loyal Customer,38,Adolescent,Personal Travel,Eco,888,Short-Haul,3,2,3,3,1,3,1,1,3,1,4,1,3,1,0,Minor Delay,0,neutral or dissatisfied
96344,Female,Loyal Customer,40,Adolescent,Business travel,Business,1609,Long-Haul,1,4,4,4,1,3,3,1,1,1,1,2,1,3,1,Minor Delay,21,neutral or dissatisfied
118568,Female,Loyal Customer,70,Old,Business travel,Eco,370,Short-Haul,2,3,3,3,4,2,2,2,2,2,2,2,2,4,14,Minor Delay,20,neutral or dissatisfied
1047,Female,Disloyal Customer,45,Adolescent,Business travel,Eco,229,Short-Haul,2,0,2,2,5,2,5,5,5,1,5,4,2,5,0,Minor Delay,0,neutral or dissatisfied
88528,Male,Loyal Customer,52,Adolescent,Personal Travel,Eco,404,Short-Haul,2,5,2,2,4,2,4,4,1,2,2,5,3,4,0,Minor Delay,0,neutral or dissatisfied
64317,Female,Disloyal Customer,57,Adolescent,Business travel,Business,1192,Short-Haul,3,3,3,1,4,3,4,4,4,2,5,5,4,4,0,Minor Delay,7,neutral or dissatisfied
104260,Male,Loyal Customer,48,Adolescent,Business travel,Business,456,Short-Haul,1,1,1,1,3,5,5,4,4,4,4,5,4,3,27,Minor Delay,11,satisfied
69379,Female,Disloyal Customer,49,Adolescent,Business travel,Business,1089,Short-Haul,3,3,3,3,5,3,5,5,3,5,5,5,4,5,0,Minor Delay,0,neutral or dissatisfied
6980,Male,Loyal Customer,38,Adolescent,Business travel,Business,2399,Long-Haul,3,3,3,3,3,5,5,5,5,5,5,5,5,5,28,Minor Delay,25,satisfied
43299,Male,Loyal Customer,44,Adolescent,Business travel,Eco,387,Short-Haul,5,3,2,3,4,5,4,4,2,3,5,5,1,4,0,Minor Delay,0,satisfied
13418,Male,Loyal Customer,22,Adolescent,Business travel,Business,2031,Long-Haul,1,2,1,1,5,5,5,5,1,4,1,2,1,5,1,Minor Delay,16,satisfied
94829,Male,Loyal Customer,46,Adolescent,Business travel,Business,341,Short-Haul,5,5,5,5,2,5,5,4,4,4,4,4,4,5,0,Minor Delay,0,satisfied
36241,Male,Loyal Customer,41,Adolescent,Business travel,Business,612,Short-Haul,4,4,4,4,2,4,4,4,4,4,4,4,4,5,0,Minor Delay,0,satisfied
42745,Male,Loyal Customer,38,Adolescent,Personal Travel,Eco Plus,536,Short-Haul,2,4,2,5,4,2,1,4,4,5,5,3,5,4,47,Moderate Delay,29,neutral or dissatisfied
14655,Female,Disloyal Customer,35,Adolescent,Business travel,Eco,112,Short-Haul,3,1,3,2,4,3,4,4,2,4,3,2,3,4,0,Minor Delay,0,neutral or dissatisfied
123726,Female,Loyal Customer,31,Adolescent,Business travel,Business,214,Short-Haul,5,5,5,5,5,5,5,5,5,5,5,3,5,5,0,Minor Delay,3,satisfied
76572,Female,Loyal Customer,49,Adolescent,Business travel,Business,3122,Long-Haul,2,2,2,2,2,5,5,5,5,5,5,5,5,4,0,Minor Delay,10,satisfied
86122,Female,Disloyal Customer,24,Adolescent,Business travel,Business,226,Short-Haul,4,0,4,5,3,4,3,3,3,5,5,4,4,3,17,Minor Delay,10,satisfied
36387,Male,Loyal Customer,49,Adolescent,Personal Travel,Eco,200,Short-Haul,4,2,4,1,4,4,4,4,2,2,1,4,2,4,0,Minor Delay,9,neutral or dissatisfied
95167,Female,Loyal Customer,33,Adolescent,Personal Travel,Eco,319,Short-Haul,3,4,3,3,2,3,1,2,3,5,4,3,4,2,20,Minor Delay,13,neutral or dissatisfied
103339,Female,Loyal Customer,62,Old,Personal Travel,Eco,1371,Short-Haul,1,5,2,2,3,4,5,3,3,2,3,4,3,5,0,Minor Delay,9,neutral or dissatisfied
26265,Male,Loyal Customer,38,Adolescent,Business travel,Business,2779,Long-Haul,3,2,2,2,3,3,2,3,3,4,3,1,3,4,21,Minor Delay,15,neutral or dissatisfied
43059,Female,Loyal Customer,61,Old,Business travel,Business,2956,Long-Haul,4,1,1,1,4,3,3,4,4,4,4,1,4,1,32,Moderate Delay,16,neutral or dissatisfied
71977,Male,Loyal Customer,56,Adolescent,Business travel,Business,1440,Short-Haul,3,4,4,4,3,2,3,3,3,3,3,1,3,3,0,Minor Delay,0,neutral or dissatisfied
12911,Female,Loyal Customer,30,Adolescent,Business travel,Business,674,Short-Haul,2,3,3,3,2,2,2,2,2,2,3,1,3,2,1,Minor Delay,18,neutral or dissatisfied
62564,Male,Loyal Customer,42,Adolescent,Business travel,Business,1744,Long-Haul,1,1,1,1,2,5,4,4,4,4,4,4,4,3,0,Minor Delay,0,satisfied
83367,Female,Loyal Customer,43,Adolescent,Business travel,Business,1124,Short-Haul,4,1,1,1,4,4,4,4,4,4,4,1,4,4,65,Severe Delay,60,neutral or dissatisfied
2220,Male,Loyal Customer,39,Adolescent,Business travel,Business,3098,Long-Haul,1,1,1,1,2,5,4,4,4,5,4,4,4,5,0,Minor Delay,0,satisfied
129419,Male,Loyal Customer,59,Adolescent,Business travel,Business,2863,Long-Haul,5,5,5,5,3,4,5,3,3,3,3,4,3,4,0,Minor Delay,0,satisfied
8440,Male,Disloyal Customer,22,Adolescent,Business travel,Business,590,Short-Haul,0,0,0,2,2,0,4,2,5,3,5,5,4,2,2,Minor Delay,0,satisfied
26449,Male,Loyal Customer,28,Adolescent,Business travel,Business,2725,Long-Haul,3,3,3,3,5,5,5,5,3,2,1,2,1,5,0,Minor Delay,0,satisfied
89854,Male,Loyal Customer,49,Adolescent,Business travel,Business,1416,Short-Haul,1,1,1,1,3,5,5,4,4,4,4,4,4,3,0,Minor Delay,7,satisfied
73575,Male,Loyal Customer,42,Adolescent,Business travel,Business,3222,Long-Haul,3,3,3,3,4,5,5,3,3,4,4,5,3,5,0,Minor Delay,0,satisfied
69225,Female,Loyal Customer,59,Adolescent,Business travel,Business,3677,Long-Haul,4,4,4,4,4,4,5,3,3,3,3,5,3,3,0,Minor Delay,0,satisfied
128839,Male,Loyal Customer,51,Adolescent,Personal Travel,Eco,2475,Long-Haul,2,4,2,3,2,5,3,5,4,4,5,3,5,3,0,Minor Delay,0,neutral or dissatisfied
72341,Male,Loyal Customer,58,Adolescent,Business travel,Business,985,Short-Haul,4,4,3,4,5,5,5,4,4,4,4,3,4,3,0,Minor Delay,0,satisfied
70846,Male,Disloyal Customer,25,Adolescent,Business travel,Business,761,Short-Haul,3,0,3,5,3,3,1,3,5,2,4,4,4,3,0,Minor Delay,0,neutral or dissatisfied
115323,Female,Loyal Customer,48,Adolescent,Business travel,Business,3152,Long-Haul,2,2,3,2,2,5,5,4,4,4,4,4,4,4,19,Minor Delay,16,satisfied
32108,Male,Disloyal Customer,20,Adolescent,Business travel,Eco,101,Short-Haul,2,0,2,5,1,2,1,1,5,5,1,3,2,1,1,Minor Delay,11,neutral or dissatisfied
111386,Female,Loyal Customer,56,Adolescent,Business travel,Business,773,Short-Haul,4,4,4,4,5,4,5,4,4,4,4,4,4,3,0,Minor Delay,0,satisfied
52629,Male,Disloyal Customer,34,Adolescent,Business travel,Eco,160,Short-Haul,2,0,2,1,4,2,4,4,4,4,4,4,4,4,2,Minor Delay,0,neutral or dissatisfied
13652,Male,Loyal Customer,44,Adolescent,Business travel,Eco,196,Short-Haul,3,5,5,5,3,3,3,3,3,3,2,4,3,3,18,Minor Delay,12,neutral or dissatisfied
110975,Male,Disloyal Customer,24,Adolescent,Business travel,Eco,319,Short-Haul,4,0,4,4,3,4,1,3,5,3,4,4,4,3,21,Minor Delay,83,satisfied
103109,Male,Loyal Customer,38,Adolescent,Personal Travel,Eco,786,Short-Haul,5,5,5,1,4,5,4,4,3,3,4,4,4,4,1,Minor Delay,0,satisfied
29900,Female,Loyal Customer,28,Adolescent,Business travel,Eco,503,Short-Haul,2,1,1,1,2,2,2,2,2,5,3,4,3,2,16,Minor Delay,19,neutral or dissatisfied
101817,Female,Loyal Customer,73,Old,Business travel,Eco,1121,Short-Haul,2,2,2,2,2,4,4,2,2,2,2,4,2,4,106,Severe Delay,69,neutral or dissatisfied
120100,Male,Disloyal Customer,42,Adolescent,Business travel,Business,1576,Long-Haul,4,4,4,4,5,4,5,5,4,3,4,5,5,5,0,Minor Delay,0,neutral or dissatisfied
52598,Male,Loyal Customer,47,Adolescent,Business travel,Eco,160,Short-Haul,3,2,2,2,3,3,3,3,5,4,3,2,3,3,0,Minor Delay,0,satisfied
44025,Male,Loyal Customer,55,Adolescent,Personal Travel,Eco,802,Short-Haul,2,2,2,4,3,2,3,3,2,4,4,4,3,3,63,Severe Delay,56,neutral or dissatisfied
99078,Male,Loyal Customer,51,Adolescent,Business travel,Business,2343,Long-Haul,5,5,2,5,3,5,5,4,4,4,4,3,4,5,0,Minor Delay,0,satisfied
55734,Male,Loyal Customer,40,Adolescent,Business travel,Business,2161,Long-Haul,5,5,5,5,4,5,4,5,5,5,5,5,5,3,0,Minor Delay,0,satisfied
48778,Male,Disloyal Customer,27,Adolescent,Business travel,Business,109,Short-Haul,4,4,4,2,4,4,4,4,4,2,4,4,4,4,0,Minor Delay,0,neutral or dissatisfied
103406,Male,Loyal Customer,33,Adolescent,Business travel,Eco,237,Short-Haul,2,5,5,5,2,2,2,2,2,1,4,1,4,2,0,Minor Delay,0,neutral or dissatisfied
135,Male,Disloyal Customer,56,Adolescent,Business travel,Business,227,Short-Haul,3,3,3,1,2,3,3,2,4,3,4,5,5,2,0,Minor Delay,0,neutral or dissatisfied
17432,Male,Disloyal Customer,18,Adolescent,Business travel,Eco,376,Short-Haul,5,3,5,2,2,5,2,2,1,1,3,5,5,2,0,Minor Delay,5,satisfied
72234,Male,Loyal Customer,32,Adolescent,Business travel,Business,921,Short-Haul,4,4,4,4,4,4,4,4,3,5,1,2,1,4,0,Minor Delay,0,neutral or dissatisfied
22527,Female,Disloyal Customer,18,Adolescent,Business travel,Eco,208,Short-Haul,5,0,5,4,2,5,4,2,4,5,3,1,5,2,0,Minor Delay,0,satisfied
61377,Female,Disloyal Customer,43,Adolescent,Business travel,Business,679,Short-Haul,3,3,3,3,4,3,4,4,5,2,5,5,4,4,0,Minor Delay,4,neutral or dissatisfied
17730,Male,Loyal Customer,42,Adolescent,Business travel,Eco,383,Short-Haul,3,2,4,4,3,3,3,3,1,2,3,1,3,3,73,Severe Delay,,neutral or dissatisfied
2883,Male,Loyal Customer,37,Adolescent,Personal Travel,Eco,475,Short-Haul,2,1,2,3,1,2,1,1,4,4,3,1,3,1,55,Moderate Delay,54,neutral or dissatisfied
8286,Female,Loyal Customer,38,Adolescent,Personal Travel,Eco,125,Short-Haul,2,2,2,3,5,2,5,5,1,4,3,3,3,5,0,Minor Delay,0,neutral or dissatisfied
59093,Female,Loyal Customer,27,Adolescent,Personal Travel,Eco,1744,Long-Haul,4,5,4,3,4,4,4,4,4,5,5,5,5,4,25,Minor Delay,29,neutral or dissatisfied
69701,Male,Loyal Customer,42,Adolescent,Business travel,Business,1372,Short-Haul,3,3,3,3,4,5,5,5,5,5,5,4,5,5,0,Minor Delay,0,satisfied
32642,Female,Loyal Customer,35,Adolescent,Business travel,Business,1796,Long-Haul,1,5,5,5,2,4,4,2,2,2,1,4,2,3,0,Minor Delay,3,neutral or dissatisfied
31232,Female,Loyal Customer,43,Adolescent,Personal Travel,Business,472,Short-Haul,3,5,2,1,2,5,3,5,5,2,5,3,5,4,0,Minor Delay,0,neutral or dissatisfied
22147,Male,Loyal Customer,18,Adolescent,Personal Travel,Business,633,Short-Haul,3,4,3,4,1,3,5,1,3,2,5,4,5,1,0,Minor Delay,0,neutral or dissatisfied
13716,Male,Loyal Customer,58,Adolescent,Business travel,Business,2800,Long-Haul,5,5,5,5,1,3,2,5,5,5,5,1,5,2,126,Severe Delay,114,satisfied
61879,Female,Loyal Customer,27,Adolescent,Business travel,Business,2521,Long-Haul,5,5,3,5,5,5,5,5,3,4,5,4,4,5,0,Minor Delay,11,satisfied
26818,Female,Loyal Customer,30,Adolescent,Business travel,Eco,224,Short-Haul,5,5,3,5,5,5,5,5,3,3,3,1,5,5,0,Minor Delay,0,satisfied
94412,Male,Disloyal Customer,61,Old,Business travel,Business,248,Short-Haul,2,2,2,5,1,2,1,1,4,3,4,4,5,1,0,Minor Delay,0,neutral or dissatisfied
10037,Male,Loyal Customer,61,Old,Personal Travel,Eco,630,Short-Haul,4,5,4,4,3,4,3,3,4,2,4,5,4,3,40,Moderate Delay,45,neutral or dissatisfied
71261,Female,Loyal Customer,13,Children,Personal Travel,Eco,733,Short-Haul,0,1,0,4,5,0,5,5,3,1,4,2,4,5,15,Minor Delay,8,satisfied
50604,Male,Loyal Customer,63,Old,Personal Travel,Eco,421,Short-Haul,3,4,3,4,5,3,5,5,1,4,3,4,3,5,6,Minor Delay,0,neutral or dissatisfied
28201,Male,Loyal Customer,20,Adolescent,Personal Travel,Eco,834,Short-Haul,3,5,3,2,5,3,5,5,4,2,4,5,5,5,0,Minor Delay,0,neutral or dissatisfied
91949,Male,Loyal Customer,67,Old,Personal Travel,Eco,2446,Long-Haul,3,4,3,5,3,5,5,3,4,4,4,5,5,5,332,Severe Delay,,neutral or dissatisfied
66144,Female,Loyal Customer,27,Adolescent,Personal Travel,Eco,583,Short-Haul,3,5,3,2,1,3,1,1,5,3,5,3,5,1,51,Moderate Delay,55,neutral or dissatisfied
59544,Male,Loyal Customer,24,Adolescent,Business travel,Business,787,Short-Haul,3,3,3,3,5,5,5,5,3,4,5,4,5,5,58,Moderate Delay,50,satisfied
47994,Female,Loyal Customer,34,Adolescent,Business travel,Eco Plus,846,Short-Haul,5,5,5,5,5,5,5,5,2,2,1,3,2,5,107,Severe Delay,98,satisfied
58675,Male,Disloyal Customer,16,Children,Business travel,Eco,622,Short-Haul,2,2,2,4,1,2,1,1,2,4,3,2,3,1,31,Moderate Delay,13,neutral or dissatisfied
53208,Female,Disloyal Customer,22,Adolescent,Business travel,Eco,589,Short-Haul,4,3,4,2,5,4,5,5,4,2,5,4,1,5,0,Minor Delay,0,neutral or dissatisfied
99837,Female,Loyal Customer,54,Adolescent,Business travel,Business,1975,Long-Haul,2,2,2,2,3,4,5,4,4,4,4,4,4,4,0,Minor Delay,0,satisfied
4248,Male,Loyal Customer,55,Adolescent,Personal Travel,Eco,1020,Short-Haul,4,3,4,5,3,4,3,3,5,3,4,4,5,3,0,Minor Delay,25,neutral or dissatisfied
102340,Female,Loyal Customer,46,Adolescent,Business travel,Business,2273,Long-Haul,2,5,5,5,1,3,3,2,2,2,2,1,2,2,0,Minor Delay,0,neutral or dissatisfied
12072,Female,Loyal Customer,12,Children,Personal Travel,Eco,351,Short-Haul,2,4,2,5,5,2,5,5,4,4,5,3,4,5,0,Minor Delay,0,neutral or dissatisfied
21234,Male,Loyal Customer,35,Adolescent,Personal Travel,Eco,192,Short-Haul,3,2,3,4,1,3,1,1,1,5,3,2,4,1,25,Minor Delay,14,neutral or dissatisfied
90079,Female,Disloyal Customer,45,Adolescent,Business travel,Business,957,Short-Haul,5,5,5,2,5,5,5,5,5,3,4,5,5,5,0,Minor Delay,0,satisfied
16105,Female,Loyal Customer,52,Adolescent,Personal Travel,Eco,303,Short-Haul,4,5,4,5,2,5,4,2,2,4,2,3,2,5,0,Minor Delay,0,satisfied
128269,Male,Loyal Customer,47,Adolescent,Business travel,Business,2242,Long-Haul,1,0,0,4,3,3,3,3,3,0,5,2,3,4,17,Minor Delay,17,neutral or dissatisfied
113377,Female,Disloyal Customer,33,Adolescent,Business travel,Business,397,Short-Haul,2,1,1,2,3,1,3,3,4,3,4,4,5,3,0,Minor Delay,0,neutral or dissatisfied
81225,Female,Loyal Customer,46,Adolescent,Business travel,Business,1426,Short-Haul,4,4,4,4,2,5,4,5,5,5,5,3,5,5,0,Minor Delay,0,satisfied
4800,Male,Loyal Customer,21,Adolescent,Personal Travel,Eco,438,Short-Haul,3,3,3,3,3,3,3,1,5,2,3,3,1,3,71,Severe Delay,162,neutral or dissatisfied
10021,Male,Loyal Customer,34,Adolescent,Personal Travel,Eco Plus,534,Short-Haul,3,2,3,3,3,3,3,3,4,5,4,1,4,3,120,Severe Delay,111,neutral or dissatisfied
107017,Male,Loyal Customer,38,Adolescent,Business travel,Business,3258,Long-Haul,5,5,5,5,5,4,5,5,5,5,5,4,5,4,8,Minor Delay,0,satisfied
120329,Male,Loyal Customer,55,Adolescent,Personal Travel,Eco,268,Short-Haul,2,2,2,4,2,2,5,2,2,5,2,4,3,2,0,Minor Delay,20,neutral or dissatisfied
70058,Female,Loyal Customer,43,Adolescent,Personal Travel,Eco Plus,583,Short-Haul,2,1,2,2,4,3,3,1,1,2,1,3,1,1,14,Minor Delay,0,neutral or dissatisfied
124034,Male,Loyal Customer,47,Adolescent,Personal Travel,Eco,184,Short-Haul,2,3,2,4,3,2,2,3,2,5,3,3,4,3,0,Minor Delay,0,neutral or dissatisfied
77096,Female,Loyal Customer,52,Adolescent,Business travel,Business,1481,Short-Haul,5,5,5,5,5,5,5,4,4,5,4,4,4,3,1,Minor Delay,0,satisfied
87897,Male,Disloyal Customer,34,Adolescent,Business travel,Business,270,Short-Haul,2,2,2,3,4,2,4,4,4,4,4,4,4,4,0,Minor Delay,0,neutral or dissatisfied
32248,Male,Loyal Customer,55,Adolescent,Business travel,Business,1734,Long-Haul,2,2,2,2,4,5,5,5,5,5,5,1,5,5,0,Minor Delay,0,satisfied
51042,Male,Loyal Customer,44,Adolescent,Personal Travel,Eco,158,Short-Haul,4,2,4,4,1,4,1,1,2,3,3,3,4,1,0,Minor Delay,0,neutral or dissatisfied
16595,Male,Loyal Customer,41,Adolescent,Business travel,Business,3324,Long-Haul,1,1,1,1,5,5,4,4,4,4,4,5,4,3,12,Minor Delay,19,satisfied
113927,Female,Loyal Customer,22,Adolescent,Business travel,Business,1750,Long-Haul,4,4,4,4,5,5,5,5,5,4,4,3,5,5,13,Minor Delay,0,satisfied
21931,Female,Disloyal Customer,26,Adolescent,Business travel,Eco,500,Short-Haul,2,1,2,3,4,2,5,4,4,3,4,2,3,4,15,Minor Delay,5,neutral or dissatisfied
94158,Male,Loyal Customer,52,Adolescent,Business travel,Business,3335,Long-Haul,4,4,4,4,2,5,4,4,4,4,4,3,4,4,0,Minor Delay,0,satisfied
106282,Female,Loyal Customer,59,Adolescent,Business travel,Business,2244,Long-Haul,4,2,2,2,1,2,3,4,4,4,4,4,4,3,3,Minor Delay,0,neutral or dissatisfied
17356,Male,Disloyal Customer,47,Adolescent,Business travel,Eco,163,Short-Haul,2,0,2,1,3,2,3,3,1,2,4,1,4,3,15,Minor Delay,4,neutral or dissatisfied
22146,Female,Disloyal Customer,14,Children,Business travel,Business,633,Short-Haul,4,4,4,2,2,4,2,2,5,3,5,4,4,2,0,Minor Delay,0,satisfied
81404,Male,Loyal Customer,52,Adolescent,Personal Travel,Eco Plus,874,Short-Haul,3,1,3,3,3,3,1,3,4,4,4,2,4,3,0,Minor Delay,0,neutral or dissatisfied
88626,Male,Loyal Customer,64,Old,Personal Travel,Eco,270,Short-Haul,3,0,3,3,1,3,1,1,5,2,4,3,5,1,4,Minor Delay,0,neutral or dissatisfied
75850,Female,Loyal Customer,19,Adolescent,Personal Travel,Eco,1440,Short-Haul,4,4,4,2,2,4,2,2,4,3,3,3,4,2,0,Minor Delay,19,satisfied
64677,Male,Disloyal Customer,20,Adolescent,Business travel,Business,551,Short-Haul,4,5,4,1,1,4,1,1,3,4,4,4,5,1,0,Minor Delay,0,satisfied
43608,Male,Disloyal Customer,40,Adolescent,Business travel,Eco,297,Short-Haul,1,0,1,3,2,1,2,2,5,5,4,5,1,2,0,Minor Delay,0,neutral or dissatisfied
5652,Male,Disloyal Customer,27,Adolescent,Business travel,Business,436,Short-Haul,4,4,4,5,2,4,2,2,5,5,4,3,4,2,57,Moderate Delay,54,satisfied
89866,Female,Loyal Customer,50,Adolescent,Business travel,Business,1501,Long-Haul,3,3,3,3,2,5,4,4,4,4,4,3,4,3,0,Minor Delay,0,satisfied
96730,Female,Loyal Customer,32,Adolescent,Personal Travel,Eco,813,Short-Haul,3,0,2,1,3,2,4,3,5,2,3,5,4,3,0,Minor Delay,6,neutral or dissatisfied
51619,Male,Loyal Customer,29,Adolescent,Business travel,Business,493,Short-Haul,2,3,3,3,2,2,2,2,3,2,3,4,4,2,0,Minor Delay,0,neutral or dissatisfied
24124,Female,Loyal Customer,28,Adolescent,Personal Travel,Eco,584,Short-Haul,3,5,3,4,1,3,2,1,3,4,4,5,4,1,21,Minor Delay,11,neutral or dissatisfied
